RAS_WSC_09_1819_1-read-29539:1147-2617(-)	d:Archaea(1.00),p:Crenarchaeota(1.00),c:Nitrososphaeria(1.00),o:Nitrosopumilales(1.00),f:Nitrosopumilaceae(1.00),g:Candidatus_Nitrosopumilus(0.99),s:Nitrosopumilus_sp.(0.01)	+
RAS_WSC_09_1819_1-read-153675:18-1347(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Nitrincolaceae(1.00),g:uncultured(1.00),s:uncultured_marine(0.59)	+
RAS_WSC_09_1819_1-read-157612:17-1350(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:SAR86_clade(1.00),g:SAR86_clade(1.00),s:uncultured_marine(0.36)	+
RAS_WSC_09_1819_1-read-37359:15-1341(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:KI89A_clade(1.00),g:KI89A_clade(1.00),s:uncultured_bacterium(0.85)	+
RAS_WSC_09_1819_1-read-45519:1-1219(+)	d:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Flavobacteriaceae(1.00),g:Formosa(0.95),s:uncultured_marine(0.52)	+
RAS_WSC_09_1819_1-read-31662:3501-5002(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhodospirillales(1.00),f:Magnetospiraceae(1.00),g:uncultured(1.00),s:uncultured_bacterium(0.96)	+
RAS_WSC_09_1819_1-read-61198:1478-3014(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Thioglobaceae(1.00),g:SUP05_cluster(1.00),s:gamma_proteobacterium(0.17)	+
RAS_WSC_09_1819_1-read-96034:2691-4227(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Thioglobaceae(1.00),g:SUP05_cluster(1.00),s:uncultured_bacterium(0.16)	+
RAS_WSC_09_1819_1-read-90353:7432-8964(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Pseudomonadaceae(1.00),g:Pseudomonas(1.00),s:Pseudomonas_migulae(0.01)	+
RAS_WSC_09_1819_1-read-48195:86-1622(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Thioglobaceae(1.00),g:SUP05_cluster(1.00),s:gamma_proteobacterium(0.15)	+
RAS_WSC_09_1819_1-read-112427:408-1944(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Thioglobaceae(1.00),g:SUP05_cluster(1.00),s:Candidatus_Thioglobus(0.61)	+
RAS_WSC_09_1819_1-read-89140:359-1895(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Thioglobaceae(1.00),g:SUP05_cluster(1.00),s:uncultured_bacterium(0.32)	+
RAS_WSC_09_1819_1-read-105970:525-2054(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_marine(0.76)	+
RAS_WSC_09_1819_1-read-125629:3883-5412(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(0.99),g:SAR92_clade(0.99),s:uncultured_marine(0.79)	+
RAS_WSC_09_1819_1-read-167813:3074-4603(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_marine(0.79)	+
RAS_WSC_09_1819_1-read-21156:2709-4238(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_marine(0.83)	+
RAS_WSC_09_1819_1-read-71721:728-2257(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_marine(0.77)	+
RAS_WSC_09_1819_1-read-93757:690-2219(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_marine(0.78)	+
RAS_WSC_09_1819_1-read-25324:1320-2849(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_marine(0.94)	+
RAS_WSC_09_1819_1-read-10622:336-1865(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_marine(0.81)	+
RAS_WSC_09_1819_1-read-131230:4240-5769(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Halieaceae(1.00),g:OM60(NOR5)_clade(0.97),s:uncultured_bacterium(0.11)	+
RAS_WSC_09_1819_1-read-81269:2025-3554(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_marine(0.91)	+
RAS_WSC_09_1819_1-read-94127:3998-5533(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Thioglobaceae(1.00),g:SUP05_cluster(1.00),s:uncultured_bacterium(0.32)	+
RAS_WSC_09_1819_1-read-19602:1276-2806(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Halieaceae(1.00),g:OM60(NOR5)_clade(0.99),s:seawater_metagenome(0.53)	+
RAS_WSC_09_1819_1-read-143630:329-1858(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_gamma(0.08)	+
RAS_WSC_09_1819_1-read-172543:852-2381(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:seawater_metagenome(0.70)	+
RAS_WSC_09_1819_1-read-36366:2133-3662(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:seawater_metagenome(0.61)	+
RAS_WSC_09_1819_1-read-36886:5122-6651(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_bacterium(0.12)	+
RAS_WSC_09_1819_1-read-32100:554-2075(+)	d:Bacteria(1.00),p:Actinobacteriota(1.00),c:Actinobacteria(1.00),o:PeM15(1.00),f:PeM15(1.00),g:PeM15(1.00),s:uncultured_bacterium(0.79)	+
RAS_WSC_09_1819_1-read-67766:736-2257(+)	d:Bacteria(1.00),p:Actinobacteriota(1.00),c:Actinobacteria(1.00),o:PeM15(1.00),f:PeM15(1.00),g:PeM15(1.00),s:uncultured_bacterium(0.82)	+
RAS_WSC_09_1819_1-read-54634:9771-11292(+)	d:Bacteria(1.00),p:Actinobacteriota(1.00),c:Actinobacteria(1.00),o:PeM15(1.00),f:PeM15(1.00),g:PeM15(1.00),s:uncultured_bacterium(0.76)	+
RAS_WSC_09_1819_1-read-107901:970-2501(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Halieaceae(1.00),g:OM60(NOR5)_clade(1.00),s:seawater_metagenome(0.54)	+
RAS_WSC_09_1819_1-read-1144:2498-4033(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Thioglobaceae(1.00),g:SUP05_cluster(1.00),s:Candidatus_Thioglobus(0.58)	+
RAS_WSC_09_1819_1-read-69984:1175-2710(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Thioglobaceae(1.00),g:SUP05_cluster(1.00),s:uncultured_bacterium(0.48)	+
RAS_WSC_09_1819_1-read-135693:2582-4103(-)	d:Bacteria(1.00),p:Actinobacteriota(1.00),c:Actinobacteria(1.00),o:PeM15(1.00),f:PeM15(1.00),g:PeM15(1.00),s:uncultured_bacterium(0.90)	+
RAS_WSC_09_1819_1-read-99300:2225-3755(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:SAR92_clade(1.00),s:uncultured_marine(0.93)	+
RAS_WSC_09_1819_1-read-106191:845-2400(+)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:OM182_clade(1.00),g:OM182_clade(1.00),s:seawater_metagenome(0.78)	+
RAS_WSC_09_1819_1-read-81889:1824-3355(-)	d:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Porticoccaceae(1.00),g:Porticoccus(1.00),s:uncultured_bacterium(0.99)	+
